2414 - 03,06,07,08,17,32,36,37,41,43,49,57,67,72,73,74,77,91,95,99
2413 - 06,11,13,16,19,24,26,37,42,46,47,53,58,70,85,87,88,93,94,99
2412 - 00,01,07,08,09,32,35,36,38,47,52,55,56,71,73,74,92,94,98,99
2411 - 00,01,02,07,09,15,19,29,39,40,57,61,66,68,82,88,89,93,95,96
2410 - 01,08,11,15,16,19,23,26,35,49,60,61,62,65,78,87,92,95,96,98
2409 - 04,07,08,12,18,33,35,46,49,51,65,66,69,72,76,80,81,83,86,89
2408 - 00,04,07,11,23,27,30,33,40,52,65,68,70,71,72,76,78,79,85,90
2407 - 06,19,26,28,29,31,41,59,60,63,68,71,74,78,79,81,85,92,97,99
2406 - 05,07,11,15,19,26,28,32,53,54,62,69,72,75,76,80,81,82,93,95
2405 - 00,03,04,06,10,17,18,20,29,31,36,38,43,56,59,75,91,93,98,99
2404 - 00,02,18,20,21,27,45,46,50,53,55,57,58,64,68,77,79,85,88,89
2403 - 01,09,19,23,24,25,27,32,39,43,44,53,60,62,68,76,86,88,96,99
2402 - 00,10,20,26,28,35,38,43,48,50,56,66,67,72,76,80,82,86,88,94
2401 - 00,11,13,16,22,32,40,41,43,46,59,71,78,80,84,86,92,93,96,98
2400 - 10,14,19,28,32,33,36,48,49,53,56,60,71,77,84,86,90,92,95,99
2399 - 02,09,13,23,25,30,35,43,48,56,59,66,69,70,73,77,82,86,87,91
2398 - 05,07,08,23,27,30,34,36,39,47,59,61,65,72,74,76,81,85,87,94
2397 - 03,08,21,44,47,48,52,53,54,58,64,67,70,73,74,77,78,91,95,98
2396 - 06,10,11,17,29,38,42,47,53,55,60,62,64,67,69,70,73,75,86,90
2395 - 04,06,10,13,18,29,30,33,38,39,43,58,60,61,65,68,71,90,93,98
2394 - 02,05,07,15,16,17,27,28,35,44,45,47,60,63,65,68,84,91,94,95
2393 - 00,08,18,21,22,23,28,34,39,41,44,45,47,58,65,67,71,76,89,92
2392 - 00,01,06,15,19,24,26,36,42,47,49,55,68,70,73,79,80,81,86,88
2391 - 01,09,13,16,23,40,42,47,55,61,62,66,68,80,84,86,88,94,95,98
2390 - 02,07,09,26,28,29,31,32,34,47,54,55,60,63,66,70,75,79,88,95
2389 - 08,12,15,16,21,24,25,31,35,36,38,44,51,52,56,61,75,78,80,91
2388 - 01,03,04,08,14,22,34,36,42,44,50,56,68,69,72,77,84,85,89,99
2387 - 05,10,16,17,19,25,28,30,36,42,44,48,53,57,58,59,65,67,90,96
2386 - 04,05,06,07,14,18,20,25,26,30,38,51,53,67,69,72,74,82,97,98
2385 - 00,06,09,38,39,40,44,55,56,57,58,60,62,73,74,76,82,83,92,98
2384 - 10,22,27,33,34,36,43,44,46,51,55,59,64,65,69,71,72,80,82,92
2383 - 02,05,07,13,16,18,29,32,36,41,55,58,68,71,73,79,84,86,89,97
2382 - 07,08,16,20,27,32,37,46,47,53,54,66,72,75,76,85,87,94,95,99
2381 - 01,06,07,11,17,18,30,37,39,54,60,65,72,74,80,87,91,92,97,98
2380 - 01,02,03,04,06,11,13,15,19,20,26,61,76,77,79,83,85,86,96,99
2379 - 00,06,07,10,16,21,36,38,45,46,49,51,54,58,73,78,80,83,93,96
2378 - 07,10,11,14,18,21,35,42,47,50,61,65,66,69,70,74,85,92,97,99
2377 - 04,11,13,15,27,28,37,41,55,61,66,69,70,73,76,84,90,94,98,99
2376 - 00,02,05,06,10,13,16,25,35,39,41,43,46,54,63,74,77,79,92,97
2375 - 05,14,24,30,31,33,34,35,36,37,44,47,48,56,65,67,74,75,87,89
2374 - 08,10,13,16,33,39,44,47,51,64,65,68,73,75,76,83,89,90,94,96
2373 - 02,04,05,15,20,23,25,31,41,43,54,55,60,76,77,78,80,82,84,87
2372 - 05,09,10,14,15,25,29,30,34,39,48,56,59,63,65,68,73,76,93,96
2371 - 05,13,16,20,23,25,27,44,45,52,55,62,63,67,68,86,87,89,91,97
2370 - 07,08,14,26,38,39,40,41,45,48,50,53,55,59,60,61,67,80,87,89
2369 - 05,20,21,23,29,33,36,40,49,50,52,57,70,71,75,76,84,85,90,99
2368 - 03,05,07,08,09,13,14,16,20,32,36,38,40,57,69,75,79,88,91,92
2367 - 14,20,24,29,33,37,40,46,47,57,63,65,71,72,75,89,90,91,94,98
2366 - 02,10,13,21,26,30,31,37,51,58,59,72,74,75,78,81,82,83,87,88
2365 - 08,09,12,13,30,41,47,53,54,58,62,66,70,74,78,83,84,85,95,98
2364 - 01,04,09,12,18,23,27,31,32,35,43,48,50,53,57,62,66,70,86,99
2363 - 15,20,28,37,44,47,51,55,58,63,70,71,72,73,78,79,80,83,92,94
2362 - 02,08,12,17,26,27,28,39,44,45,46,48,49,57,66,72,77,85,87,88
2361 - 02,03,11,24,29,31,32,33,34,41,46,60,70,71,86,87,88,94,95,97
2360 - 05,09,12,17,24,30,31,38,42,48,52,53,76,77,78,80,81,88,89,95
2359 - 05,09,11,14,16,21,34,47,53,61,64,68,69,75,76,86,95,96,98,99
2358 - 01,11,12,14,15,38,45,56,59,60,61,66,71,74,75,76,80,81,82,89
2357 - 00,07,11,13,20,25,28,37,40,46,48,50,55,57,58,64,75,83,90,91
2356 - 00,09,13,14,20,22,23,31,33,34,36,39,48,51,63,64,66,67,81,82
2355 - 01,05,11,16,19,35,38,41,43,46,47,54,63,65,67,72,75,89,93,94
2354 - 09,13,21,28,29,34,40,41,43,50,59,67,70,74,82,85,88,90,95,98
2353 - 00,08,09,11,16,18,20,26,34,35,43,47,53,61,66,71,75,80,97,98
2352 - 00,08,09,18,24,30,31,41,43,44,48,55,72,73,83,84,88,89,95,97
2351 - 04,15,21,27,28,29,32,37,62,63,64,74,80,81,87,89,93,97,98,99
2350 - 03,07,23,30,33,41,42,45,46,47,56,68,70,73,82,83,89,93,94,97
2349 - 04,07,09,10,18,20,29,37,41,49,51,53,54,59,64,65,79,95,96,99
2348 - 01,06,07,09,17,18,20,30,42,47,48,51,52,62,72,77,78,84,88,90
2347 - 03,07,09,18,19,20,22,24,25,29,34,35,47,53,66,72,75,85,92,99
2346 - 09,13,22,23,24,32,36,41,51,52,54,59,67,79,81,82,83,84,89,97
2345 - 01,02,07,12,13,18,22,25,39,44,57,62,69,73,74,80,91,93,95,97
2344 - 17,21,30,38,40,44,48,51,61,66,71,74,79,81,86,88,90,91,98,99
2343 - 05,07,14,18,21,26,28,35,36,42,44,55,57,61,63,69,76,80,81,85
2342 - 03,06,12,16,21,23,24,26,28,33,43,60,67,69,72,77,79,91,92,97
2341 - 07,10,15,21,24,29,41,45,47,48,50,64,65,74,84,87,91,92,94,98
2340 - 03,14,15,21,28,30,32,48,49,51,54,58,63,74,77,83,86,89,93,94
2339 - 10,13,17,25,27,29,31,33,38,41,42,45,54,65,67,76,82,94,95,96
2338 - 04,08,11,22,33,36,39,43,45,46,50,52,60,61,69,72,78,83,95,99
2337 - 01,04,06,15,17,20,23,28,30,37,59,70,72,82,83,84,85,88,90,93
2336 - 02,04,13,16,22,31,33,37,38,42,47,61,62,63,70,72,81,86,94,95
2335 - 02,03,07,24,28,30,40,47,52,55,57,59,60,64,67,70,76,78,79,92
2334 - 00,03,09,18,20,36,39,42,44,51,66,68,70,73,81,85,89,91,92,93
2333 - 01,07,08,09,14,16,18,22,25,27,31,47,51,54,59,70,72,76,86,96
2332 - 05,06,15,20,29,31,38,47,49,58,61,65,66,69,71,80,82,94,95,97
2331 - 01,10,21,24,29,32,40,41,46,48,51,54,68,69,81,87,90,91,93,99
2330 - 02,07,10,15,19,20,23,28,32,33,42,50,51,52,55,60,77,84,88,92
2329 - 00,05,14,16,18,21,24,29,31,35,37,45,46,53,64,70,85,87,88,99
2328 - 04,19,20,21,24,28,30,38,43,48,50,51,57,61,63,75,78,87,90,91
2327 - 06,09,13,21,24,26,27,43,48,53,55,67,73,75,80,83,85,88,93,98
2326 - 08,09,10,13,15,25,29,35,51,56,59,68,69,74,80,87,89,91,96,98
2325 - 08,09,12,22,30,34,39,41,45,50,54,61,65,69,74,76,83,88,90,92
2324 - 05,06,09,12,15,18,22,23,27,39,50,57,59,61,67,73,76,79,87,98
2323 - 02,12,14,18,19,24,27,41,48,52,56,61,66,70,73,81,83,84,86,94
2322 - 00,07,11,15,22,29,31,36,55,59,62,63,68,69,77,80,84,89,91,92
2321 - 03,09,18,19,29,36,39,50,60,62,68,71,75,76,78,81,87,88,89,91
2320 - 02,04,09,11,13,26,35,36,38,39,47,49,56,64,71,75,76,80,85,89
2319 - 01,07,19,23,26,28,31,33,35,43,53,65,67,71,75,77,80,84,94,97
2318 - 00,07,11,16,17,22,23,31,49,57,59,60,66,71,76,79,81,84,94,96
2317 - 02,06,07,12,24,31,32,34,37,43,44,45,50,54,57,74,78,79,87,96
2316 - 03,10,13,17,21,22,35,38,39,45,52,55,59,65,71,75,76,84,90,95
2315 - 03,12,16,18,22,24,43,52,53,57,65,66,73,75,79,85,90,93,97,00
2314 - 02,03,14,19,28,34,42,44,45,47,48,56,60,63,64,75,81,82,95,98
2313 - 02,13,28,38,39,40,43,45,46,51,61,63,72,73,74,81,84,86,92,93
2312 - 08,13,18,22,27,33,36,47,48,63,66,76,78,84,85,89,91,96,98,99
2311 - 03,07,10,11,12,15,25,33,45,47,59,63,66,75,76,78,87,93,96,98
2310 - 03,05,09,13,21,27,34,35,41,44,48,52,64,66,67,71,74,75,77,82
2309 - 03,07,18,24,33,34,36,46,50,54,70,71,76,82,83,87,93,95,97,98
2308 - 03,04,08,09,12,15,21,24,32,34,35,44,52,58,60,65,66,70,84,95
2307 - 06,08,11,25,26,32,43,46,49,54,55,61,68,73,74,75,76,78,79,83
2306 - 01,03,06,12,18,25,32,44,49,58,62,71,72,73,82,84,86,89,91,97
2305 - 03,04,33,35,38,42,48,54,56,61,63,69,72,76,77,78,81,84,90,98
2304 - 02,07,10,20,26,35,38,44,48,49,51,52,55,58,65,71,76,79,93,95
2303 - 03,04,08,09,14,29,39,42,43,45,47,48,52,62,81,82,88,91,95,96
2302 - 10,11,12,15,23,25,34,37,38,45,48,50,52,57,63,67,69,78,87,91
2301 - 02,03,05,07,25,33,34,38,41,50,59,60,63,65,70,79,80,85,94,00
2300 - 04,06,09,10,22,31,35,36,48,54,60,61,72,77,81,84,87,90,91,95
2299 - 01,03,11,14,24,26,27,45,46,50,51,55,56,59,62,65,81,87,91,93
2298 - 06,09,11,18,29,33,41,43,53,56,61,62,70,73,74,88,89,96,98,99
2297 - 01,18,21,24,26,32,33,44,46,48,53,54,57,61,64,80,81,91,96,00
2296 - 07,14,22,26,30,33,34,37,39,45,59,66,70,75,82,88,92,95,97,98
2295 - 02,05,06,24,26,33,35,47,50,58,66,68,71,81,82,84,86,91,93,95
2294 - 02,06,07,11,23,24,26,29,41,45,56,60,68,73,84,85,93,98,99,00
2293 - 02,05,07,09,18,19,30,31,33,43,45,48,50,53,76,78,79,91,93,97
2292 - 03,14,20,22,23,24,25,30,31,33,36,42,56,68,70,73,79,89,93,94
2291 - 06,10,11,12,18,20,31,36,39,41,50,56,59,62,67,73,74,75,84,86
2290 - 05,09,10,15,21,36,38,39,40,45,52,53,54,55,56,57,63,87,92,94
2289 - 01,02,20,25,26,29,38,39,49,52,55,57,59,61,75,81,83,85,93,95
2288 - 07,09,27,30,38,45,46,48,51,54,56,60,61,74,76,82,85,88,90,92
2287 - 01,09,14,21,24,29,38,42,46,49,52,54,58,59,69,70,74,81,83,90
2286 - 03,05,17,18,22,34,39,45,56,57,61,66,67,71,73,80,83,87,98,00
2285 - 02,04,14,16,17,26,28,37,47,49,58,59,62,73,75,79,82,83,93,98
2284 - 01,02,09,23,35,36,41,42,56,59,64,71,74,75,76,85,91,93,94,96
2283 - 04,06,10,14,19,29,30,38,45,46,49,51,52,59,67,76,79,94,95,98
2282 - 04,10,19,21,30,42,43,45,47,49,55,59,60,62,64,71,78,80,84,88
2281 - 02,07,08,10,12,16,18,36,38,45,46,49,51,52,53,54,74,80,81,98
2280 - 03,04,06,10,13,16,18,23,30,36,43,44,51,62,65,69,70,74,83,98
2279 - 03,08,11,27,32,38,43,46,56,58,61,68,70,72,73,88,93,94,96,00
2278 - 01,02,18,20,27,30,31,32,38,44,52,61,65,72,73,78,80,89,90,92
2277 - 04,10,14,15,16,19,25,30,31,44,49,51,55,64,69,76,82,83,85,90
2276 - 13,18,21,31,32,40,46,49,54,56,57,65,68,73,80,88,90,94,99,00
2275 - 05,09,24,29,32,35,46,47,51,53,54,56,60,63,73,75,77,80,81,92
2274 - 06,10,11,13,16,27,33,36,40,42,46,52,55,59,61,62,63,85,94,00
2273 - 20,38,43,46,55,56,59,61,67,71,75,76,82,85,87,90,91,92,94,98
2272 - 10,17,19,26,31,32,37,38,42,46,53,56,58,67,75,78,88,93,97,00
2271 - 07,10,11,18,27,32,33,37,43,48,57,62,65,68,74,76,77,82,93,99
2270 - 03,06,18,38,43,50,53,58,64,65,66,67,71,80,82,87,89,90,93,96
2269 - 03,16,21,24,36,37,39,42,47,48,56,64,72,80,84,87,91,92,93,94
2268 - 01,07,10,18,29,31,39,42,43,53,56,60,67,79,81,83,89,93,98,00
2267 - 03,10,11,27,30,45,46,49,52,54,62,64,67,72,75,77,83,85,89,91
2266 - 08,10,19,32,35,38,46,47,50,54,55,57,69,71,73,75,80,81,82,83
2265 - 02,03,04,07,11,24,31,36,37,47,49,58,59,60,71,78,79,83,87,99
2264 - 01,03,04,08,12,16,19,24,38,47,48,52,62,65,66,67,77,82,85,86
2263 - 02,07,08,17,18,19,33,36,41,43,44,47,48,62,69,72,87,93,98,99
2262 - 01,04,16,21,22,28,42,44,45,48,55,59,60,61,66,70,76,92,94,97
2261 - 03,10,14,19,26,29,40,50,54,66,68,72,78,79,84,86,91,93,94,99
2260 - 01,03,05,13,23,43,53,55,56,65,67,74,78,81,83,85,90,91,93,99
2259 - 02,14,19,20,23,37,38,40,45,50,56,59,62,64,67,78,85,90,94,98
2258 - 01,02,12,23,25,31,38,43,44,50,54,57,65,66,69,74,76,84,86,94
2257 - 03,05,12,19,29,35,36,40,51,57,58,59,65,69,70,74,75,76,89,95
2256 - 04,13,16,22,27,30,31,43,47,52,59,61,63,66,70,71,83,86,87,90
2255 - 05,07,10,11,13,14,18,19,31,38,60,63,67,71,83,84,90,93,94,98
2254 - 05,10,11,14,18,20,23,24,31,32,36,42,44,51,53,61,78,82,83,93
2253 - 01,06,07,27,31,36,43,49,50,51,64,66,72,74,78,79,87,88,95,97
2252 - 04,05,20,23,24,25,26,27,28,29,36,38,50,51,53,62,64,76,79,00
2251 - 02,07,15,25,35,42,45,48,50,57,60,61,65,77,78,82,87,90,95,00
2250 - 04,05,08,23,24,31,32,33,34,35,38,43,48,58,63,74,84,85,96,00
2249 - 05,10,12,15,18,28,30,32,34,35,42,44,46,47,51,52,70,87,89,95
2248 - 12,13,19,22,25,32,44,45,47,53,67,71,75,76,83,84,93,94,99,00
2247 - 05,07,10,11,14,18,20,25,35,41,42,46,47,54,59,62,69,77,85,94
2246 - 10,11,13,17,27,28,29,30,31,36,39,47,51,63,67,82,85,92,95,97
2245 - 07,11,12,14,17,27,39,40,55,56,59,62,64,68,78,80,82,83,90,99
2244 - 03,10,14,18,19,26,29,37,41,42,45,51,71,76,77,80,90,92,97,98
2243 - 04,06,09,17,20,21,24,26,27,33,34,35,36,59,61,64,69,74,86,89
2242 - 04,06,07,10,28,31,33,38,47,50,55,59,69,70,71,74,85,87,88,94
2241 - 02,04,17,23,36,38,45,46,55,57,59,61,71,74,75,82,86,87,89,90
2240 - 04,08,10,14,15,23,25,26,34,38,43,47,54,59,74,77,80,86,90,93
2239 - 11,13,19,22,27,28,49,53,56,63,65,66,71,76,77,78,81,89,90,98
2238 - 04,05,08,11,17,21,27,30,32,33,54,60,61,63,67,70,80,93,96,99
2237 - 02,06,13,22,24,27,29,40,41,45,47,51,69,76,77,78,79,80,83,93
2236 - 01,02,05,08,09,14,20,22,24,39,40,53,59,61,62,79,82,83,94,96
2235 - 18,20,24,31,32,37,40,47,49,50,57,64,68,70,71,75,76,88,90,91
2234 - 02,17,26,28,30,38,48,53,54,61,63,65,66,72,74,75,77,79,81,90
2233 - 01,05,06,09,15,17,25,37,41,50,60,68,70,74,75,79,87,93,96,97
2232 - 01,12,16,20,21,30,31,33,35,46,47,48,58,60,61,68,77,78,80,96
2231 - 06,09,12,15,19,25,26,31,33,36,37,41,44,46,52,54,61,68,71,90
2230 - 02,11,22,37,40,43,44,47,55,62,65,66,68,70,71,76,84,85,93,99
2229 - 05,07,23,25,29,32,34,39,42,53,54,68,69,70,76,78,81,85,86,89
2228 - 03,04,10,20,23,31,33,34,37,39,46,47,49,51,59,67,89,92,93,95
2227 - 02,04,06,12,25,31,33,36,39,46,49,51,57,62,64,80,85,86,94,95
2226 - 09,10,14,18,23,28,41,46,53,56,61,62,66,67,74,77,82,83,87,91
2225 - 02,04,06,08,20,24,31,33,35,38,44,46,59,64,67,75,81,84,93,97
2224 - 01,14,15,28,32,37,45,49,55,63,65,68,71,76,82,87,90,92,97,98
2223 - 03,12,20,31,33,37,46,47,48,53,61,62,64,74,75,78,89,90,92,00
2222 - 04,06,08,15,26,27,37,41,49,51,60,63,67,70,73,83,86,87,92,97
2221 - 14,26,31,36,41,42,44,45,47,49,58,60,62,72,80,82,83,86,95,97
2220 - 08,09,19,22,27,29,30,36,51,56,65,76,79,82,84,88,92,93,95,96
2219 - 04,06,10,13,14,18,22,24,28,47,53,60,62,67,72,85,89,91,93,95
2218 - 12,13,15,22,24,27,33,34,38,39,42,45,57,60,70,71,72,84,86,87
2217 - 03,05,08,09,13,15,23,26,38,44,48,55,59,67,70,73,84,85,86,90
2216 - 13,14,23,24,28,30,42,47,49,55,61,62,67,69,73,75,76,79,81,90
2215 - 01,06,11,19,20,22,26,31,32,35,42,44,45,53,63,68,83,87,92,00
2214 - 07,17,19,21,24,26,31,38,43,46,47,51,53,65,67,70,76,78,86,90
2213 - 05,08,19,29,31,33,43,44,47,50,53,60,64,68,75,76,83,85,87,95
2212 - 04,05,23,30,48,58,60,61,62,63,64,76,82,83,84,85,86,89,92,98
2211 - 08,20,22,25,26,28,41,46,47,54,57,64,72,81,85,86,90,92,98,00
2210 - 01,18,23,33,34,44,48,54,61,63,64,72,73,78,79,87,88,90,97,99
2209 - 04,08,17,19,24,26,36,38,49,55,56,66,69,70,75,77,80,84,95,96
2208 - 03,09,11,14,17,18,20,22,24,29,35,50,56,57,62,73,76,82,86,99
2207 - 09,12,22,31,34,43,46,48,49,50,62,65,66,69,70,74,85,90,97,99
2206 - 01,06,21,27,31,35,40,42,45,50,53,54,62,66,67,82,91,92,94,95
2205 - 12,19,22,25,30,35,38,40,51,52,54,55,61,62,67,69,71,78,83,94
2204 - 01,04,13,27,35,36,38,46,54,55,56,59,60,63,69,74,78,81,82,99
2203 - 01,04,14,16,20,26,34,50,51,52,54,62,72,76,77,84,94,97,98,99
2202 - 01,04,14,15,19,21,28,32,33,35,47,53,65,68,74,75,79,81,84,93
2201 - 06,17,19,24,27,30,35,38,42,46,48,49,61,68,74,75,79,80,92,97
2200 - 14,17,20,22,30,32,34,60,64,66,71,75,76,77,87,90,91,93,94,97
2199 - 10,16,24,28,30,31,32,41,43,46,52,58,62,71,78,80,83,87,88,94
2198 - 07,16,17,22,24,26,31,35,38,41,46,48,55,57,62,71,77,90,97,98
2197 - 01,02,05,06,17,20,22,26,28,31,33,42,46,57,58,81,83,92,98,99
2196 - 09,13,16,22,23,31,37,38,42,51,57,60,62,63,67,70,85,90,92,93
2195 - 06,18,19,23,31,40,51,53,54,64,69,74,79,84,88,92,95,96,97,99
2194 - 07,10,14,24,28,32,33,36,40,53,56,60,68,73,79,80,81,93,95,98
2193 - 02,04,07,12,17,19,33,40,43,44,46,48,52,63,67,71,72,85,95,96
2192 - 03,05,08,11,28,30,37,38,40,42,46,51,61,63,65,75,86,90,92,94
2191 - 04,12,24,25,29,30,34,40,56,60,67,69,72,74,83,88,94,97,98,99
2190 - 09,20,25,34,35,37,40,42,47,51,59,62,63,65,68,80,81,82,91,98
2189 - 07,16,33,34,38,43,44,54,55,59,67,74,78,79,81,91,95,96,97,98
2188 - 04,11,14,20,24,26,29,30,36,43,46,62,63,65,67,68,71,79,82,91
2187 - 03,07,12,20,25,31,35,40,42,44,49,69,74,77,87,92,95,98,99,00
2186 - 07,08,09,13,17,23,26,37,39,40,42,43,45,53,55,58,72,77,82,87
2185 - 03,04,11,13,21,23,27,30,35,37,51,56,63,65,67,76,81,84,93,94
2184 - 03,07,10,14,17,24,30,32,45,48,55,58,60,62,83,87,92,94,97,99
2183 - 02,03,05,08,13,15,18,29,40,52,56,65,68,77,78,80,81,86,89,98
2182 - 15,17,18,36,38,42,45,48,52,56,60,66,67,71,75,76,85,89,92,00
2181 - 01,02,07,15,19,20,21,30,37,39,46,47,49,57,60,67,73,81,84,88
2180 - 07,08,13,15,30,34,39,44,46,53,54,56,63,74,76,85,87,89,91,95
2179 - 01,03,06,13,18,20,22,23,29,35,39,40,45,59,65,80,82,85,95,98
2178 - 02,15,20,23,30,34,39,40,54,56,62,75,81,83,86,87,89,90,91,95
2177 - 06,07,08,24,29,31,34,36,43,50,51,52,57,65,68,87,88,91,96,97
2176 - 10,14,20,23,25,29,38,40,42,43,57,60,63,65,66,68,75,89,93,96
2175 - 01,05,06,19,20,22,26,28,31,37,40,46,54,55,57,59,66,75,87,92
2174 - 10,28,32,36,43,44,45,46,54,59,64,66,71,73,74,80,82,86,94,95
2173 - 04,17,23,24,27,36,44,45,49,53,64,65,66,67,77,80,82,97,98,00
2172 - 02,03,04,08,09,13,16,20,25,29,30,32,38,49,51,53,54,55,69,82
2171 - 03,12,14,17,19,20,23,27,35,37,47,51,64,67,72,76,81,83,94,99
2170 - 08,11,13,31,38,48,50,51,57,60,63,74,76,79,83,85,91,92,93,97
2169 - 05,07,08,22,28,35,45,51,53,58,61,66,68,70,75,80,81,87,98,99
2168 - 04,07,09,11,26,32,34,37,49,59,66,68,73,76,79,83,88,92,96,99
2167 - 02,07,18,26,27,37,38,39,43,47,51,54,57,61,67,71,77,82,88,99
2166 - 03,06,09,13,14,19,21,28,29,40,45,54,56,69,75,76,89,90,94,00
2165 - 02,10,11,19,21,34,35,37,42,48,54,55,58,71,74,77,79,82,91,92
2164 - 02,06,07,12,15,19,21,24,28,47,48,55,60,71,78,84,86,89,91,93
2163 - 02,17,20,23,28,34,45,46,49,50,52,57,62,72,81,86,94,95,99,00
2162 - 07,11,21,32,34,35,36,37,45,49,51,58,65,67,70,75,86,87,93,98
2161 - 20,21,31,40,42,43,44,46,47,51,53,54,62,63,64,68,76,77,84,86
